PASS,22_EKM_TRAIL_CARRYING_NOTHING,FALSE,If there are CloudTrail::Trails - they all certainly carry logs about data events
PASS,23_EKM_TRAIL_NO_LOGFILE_VALIDATION,FALSE,If there are CloudTrail::Trails - they all certainly have log file validation enabled
PASS,24_AKM_TRAIL_LOG,TRUE,If there are CloudTrail::Trails - they all certainly keep logs
PASS,25_EKM_TRAIL_NOT_ALL_REGIONS,FALSE,If there are CloudTrail::Trails - they all certainly log events from all regions
FAIL,26_AM_VOLUME_NOT_ENCRYPTED,TRUE,All EC2::Volumes certainly are not-encrypted
PASS,27_EKM_INSTANCE_PUBLIC,FALSE,If there are EC2::Instances - they certainly do not allow public IPs
FAIL,28_EM_INSTANCE_USERDATA,FALSE,If there are EC2::Instances - they certainly have user data on template
PASS,29_EKM_SECURITY_GROUP_OPEN_PORTS_SELF,FALSE,If there are EC2::SecurityGroups - they certainly do not open all ports to self
PASS,30_AM_SECURITYGROUP_UNUSED,FALSE,There exists at least one EC2::SecurityGroup that is used,(apiconcordstackset_logingester_dbvpcsecuritygroup *** apiconcordstackset_logingester_kinesistordslambdafunctionsecuritygroup)
FAIL,31_EM_LOADBALANCER_ACCESSLOGGINGPOLICY,FALSE,If there are ElasticLoadBalancing::LoadBalancer - they all have access logging policy disabled
FAIL,32_EM_LOADBALANCER_S3ACCESSLOGS,FALSE,There is no ElasticLoadBalancingv2::LoadBalancer with S3 Access Logs enabled
PASS,33_AKM_LOADBALANCER_DELETION_PROTECTED,TRUE,All ElasticLoadBalancingv2::LoadBalancers - if any - certainly have deletion protection enabled
PASS,34_AKM_LISTENER_NO_OLD_POLICIES,TRUE,All LoadBalancingV2::Listeners - if any - certainly do not use old SSL policies
FAIL,35_EM_GROUP_INLINE_POLICIES,FALSE,There is no IAM::Group with inline policies
PASS,36_AKM_GROUP_NO_USERS,TRUE,All IAM::Groups - if any - are linked to some user
FAIL,37_AKM_USERS_PWDRESET,FALSE,There exists at least one declared IAM::User that does not have password reset required flag,(apiconcordstackset_tokenaccess_tokenserviceuser)
FAIL,38_EM_ROLE_INLINE_POLICIES,FALSE,There is no IAM::Role with inline policies
PASS,39_AM_USER_WITH_LOGINPROFILE,FALSE,There exists at least one IAM::User that does not have password in template,(apiconcordstackset_tokenaccess_tokenserviceuser)
PASS,40_EM_ACCESSKEY_ROTATING,TRUE,There is at least one declared IAM::User linked to a rotating access key,(ext_token-service-staging)
FAIL,41_AKM_USER_ONE_ACCESSKEY,UNKNOWN\FALSE,All declared IAM::Users have max one access key - but there are referenced ones that might have more
FAIL,42_EM_USER_INLINE_POLICIES,FALSE,There is no declared IAM::User with inline policies
FAIL,43_AKM_RDS_BACKUP,FALSE,There exists at least one declared RDS::DBInstance that has backup retention set to 0,(apiconcordstackset_logingester_dbinstance)
PASS,44_AM_RDS_MINORUPGRADE_DISABLED,FALSE,There exists at least one declared RDS::DBInstance that has auto minor version upgrade enabled,(apiconcordstackset_logingester_dbinstance)
FAIL,45_AKM_RDS_SHORT_BACKUP,FALSE,There exists at least one RDS::DBInstance that certainly has short backup retention of one day,(apiconcordstackset_logingester_dbinstance)
PASS,46_EM_DECLARED_RDS_ONEAZ,TRUE,There is at least one RDS::DBInstance that is replicated in different Availability Zones,(apiconcordstackset_logingester_dbinstance)
PASS,47_AKM_RDS_ENCRYPTED,TRUE,All known RDS::DBInstances are encrypted
PASS,48_EKM_RDS_SECURITYGROUP_OPEN,FALSE,If there are RDS::DBinstances - they are certainly not linked to an open security group
PASS,49_AKM_BUCKETS_VERSIONING,TRUE,All S3::Buckets have versioning enabled
PASS,50_EKM_VPC_OPEN_NETWORK_ACL,FALSE,If there are EC2::VPCs - they certainly do not have an open-to-all Network Acl
FAIL,51_AM_NETWORKACL_NOT_USED,TRUE,If there are EC2::NetworkAcls - they are all unused
FAIL,52_AM_SUBNET_BAD_ACL,TRUE,If there are EC2::Subnets - they all have bad ACLs
FAIL,53_AM_SUBNET_NO_FLOWLOG,TRUE,If there are EC::Subnets -- they all have no FlowLog
