Pass/Fail,Property ID,True/False,Outcome,Outcome Description,Instances
FAIL,28_EM_INSTANCE_USERDATA,FALSE,UNSAT,If there are EC2::Instances - they certainly have user data on template,N/A
PASS,29_EKM_SECURITY_GROUP_OPEN_PORTS_SELF,FALSE,UNSAT,If there are EC2::SecurityGroups - they certainly do not open all ports to self,N/A
PASS,30_AM_SECURITYGROUP_UNUSED,FALSE,SAT/+,There exists at least one EC2::SecurityGroup that is used,(retailmenotstackset_elb_elbsecuritygroup - retailmenotstackset_elbinternal_elbsecuritygroup - retailmenotstackset_enginetaskrunner_securitygroup - retailmenotstackset_engineworker_securitygroup - retailmenotstackset_rds_securitygroup - retailmenotstackset_subscriptionworker_securitygroup - retailmenotstackset_triggerworker_securitygroup - retailmenotstackset_web_securitygroup)
FAIL,31_EM_LOADBALANCER_ACCESSLOGGINGPOLICY,FALSE,SAT/0,There is no LoadBalancer with Access Logging Policy enabled,N/A
FAIL,32_EM_LOADBALANCER_S3ACCESSLOGS,FALSE,UNSAT,There is no ElasticLoadBalancingv2::LoadBalancer with S3 Access Logs enabled,N/A
PASS,33_AKM_LOADBALANCER_DELETION_PROTECTED,TRUE,UNSAT,All ElasticLoadBalancingv2::LoadBalancers - if any - certainly have deletion protection enabled,N/A
PASS,34_AKM_LISTENER_NO_OLD_POLICIES,TRUE,UNSAT,All LoadBalancingV2::Listeners - if any - certainly do not use old SSL policies,N/A
FAIL,35_EM_GROUP_INLINE_POLICIES,FALSE,UNSAT,There is no IAM::Group with inline policies,N/A
PASS,36_AKM_GROUP_NO_USERS,TRUE,UNSAT,All IAM::Groups - if any - are linked to some user,N/A
PASS,37_AKM_USERS_PWDRESET,TRUE,UNSAT,All known IAM::Users have password reset required,N/A
PASS,38_EM_ROLE_INLINE_POLICIES,TRUE,SAT/+,There is at least one IAM::Role with inline policies,(retailmenotstackset_iamtemplate_ecscontainerinstanceprofilerole - retailmenotstackset_iamtemplate_ecsservicerole - retailmenotstackset_iamtemplate_udsec2instanceprofilerole - retailmenotstackset_iamtemplate_udsinstanceprofilerole)
FAIL,39_AM_USER_WITH_LOGINPROFILE,TRUE,UNSAT,All IAM::Users - if any - might have password in template,N/A
FAIL,40_EM_ACCESSKEY_ROTATING,FALSE,UNSAT,There is no IAM::User that is linked to a key that is rotating,N/A
PASS,41_AKM_USER_ONE_ACCESSKEY,TRUE,UNSAT,All IAM::Users have max one access key,N/A
FAIL,42_EM_USER_INLINE_POLICIES,FALSE,UNSAT,There is no IAM::User with inline policies,N/A
FAIL,43_AKM_RDS_BACKUP,FALSE,SAT/+,There exists at least one declared RDS::DBInstance that has backup retention set to 0,(retailmenotstackset_rds_dbinstance)
PASS,44_AM_RDS_MINORUPGRADE_DISABLED,FALSE,SAT/+,There exists at least one declared RDS::DBInstance that has auto minor version upgrade enabled,(retailmenotstackset_rds_dbinstance)
PASS,45_AKM_RDS_SHORT_BACKUP,TRUE,UNSAT,All RDS::DBInstances - if any - certainly do not have short backup retention,N/A
FAIL,46_EM_DECLARED_RDS_ONEAZ,FALSE,SAT/0,There are RDS::DBInstances that might not be replicated in different Availability Zones,N/A
FAIL,47_AKM_RDS_ENCRYPTED,FALSE,SAT/+,There exists at least one declared RDS::DBInstance that is not encrypted,(retailmenotstackset_rds_dbinstance)
PASS,48_EKM_RDS_SECURITYGROUP_OPEN,FALSE,UNSAT,If there are RDS::DBinstances - they are certainly not linked to an open security group,N/A
FAIL,49_AKM_BUCKETS_VERSIONING,FALSE,SAT/+,There are S3::Buckets - declared in this template - that have versioning disabled,(retailmenotstackset_s3_configs3bucket - retailmenotstackset_s3_datas3bucket)
PASS,50_EKM_VPC_OPEN_NETWORK_ACL,FALSE,UNSAT,If there are EC2::VPCs - they certainly do not have an open-to-all Network Acl,N/A
FAIL,51_AM_NETWORKACL_NOT_USED,TRUE,UNSAT,If there are EC2::NetworkAcls - they are all unused,N/A
FAIL,52_AM_SUBNET_BAD_ACL,TRUE,UNSAT,If there are EC2::Subnets - they all have bad ACLs,N/A
FAIL,53_AM_SUBNET_NO_FLOWLOG,TRUE,UNSAT,If there are EC::Subnets -- they all have no FlowLog,N/A
