Pass/Fail,Property ID,True/False,Outcome,Outcome Description,Instances
PASS,29_EKM_SECURITYGROUP_UNUSED,FALSE,UNSAT,Either there are no EC2::SecurityGroups or there are some and they are all linked to a VPC,N/A
PASS,30_AKM_LOADBALANCER_ACCESSLOGGINGPOLICY,TRUE,UNSAT,Either there are no ElasticLoadBalancing::LoadBalancer or there are some and they all have access logging policy disabled,N/A
PASS,31_AKM_LOADBALANCER_S3ACCESSLOGS,TRUE,UNSAT,Either there is no ElasticLoadBalancingv2::LoadBalancer or there are some and they all  have S3 Access Logs enabled,N/A
PASS,32_AKM_LOADBALANCER_DELETION_PROTECTED,TRUE,UNSAT,All ElasticLoadBalancingv2::LoadBalancers - if any - certainly have deletion protection enabled,N/A
PASS,33_AKM_LISTENER_NO_OLD_POLICIES,TRUE,UNSAT,All LoadBalancingV2::Listeners - if any - certainly do not use old SSL policies,N/A
PASS,34_AKM_POLICIES_ATTACHED_TO_GROUPS_ONLY,TRUE,UNSAT,Either there are no IAM::Policies or they are all attached to groups,N/A
PASS,35_AKM_GROUP_NO_USERS,TRUE,UNSAT,All IAM::Groups - if any - are linked to some user,N/A
FAIL,36_AKM_USERS_PWDRESET,FALSE,SAT/+,There exists at least one declared IAM::User that does not have password reset required flag,(dietsmarts_cloud_publishuser)
PASS,37_EKM_USER_WITH_LOGINPROFILE,FALSE,UNSAT,Either there are no IAM::Users or they all have password in template,N/A
FAIL,38_AKM_ACCESSKEY_ROTATING,UNKNOWN-FALSE,SAT/0,There are referenced IAM::Users that might be linked to a key that is not rotating,N/A
FAIL,39_AKM_USER_ONE_ACCESSKEY,UNKNOWN-FALSE,SAT/0,All declared IAM::Users have max one access key - but there are referenced ones that might have more,N/A
PASS,40_AKM_RDS_BACKUP,TRUE,UNSAT,All known RDS::DBInstances have backup retention different from 0,N/A
PASS,41_AKM_RDS_MINORUPGRADE_DISABLED,TRUE,UNSAT,Either there are no RDS::DBInstances or they all have auto minor upgrade disabled,N/A
PASS,42_AKM_RDS_SHORT_BACKUP,TRUE,UNSAT,All RDS::DBInstances - if any - certainly do not have short backup retention,N/A
PASS,43_AKM_DECLARED_RDS_ONEAZ,TRUE,UNSAT,Either there are no RDS::DBInstances or they are replicated in different Availability Zones,N/A
PASS,44_AKM_RDS_ENCRYPTED,TRUE,UNSAT,All known RDS::DBInstances are encrypted,N/A
PASS,45_EKM_RDS_SECURITYGROUP_OPEN,FALSE,UNSAT,If there are RDS::DBinstances - they are certainly not linked to an open security group,N/A
FAIL,46_AKM_BUCKETS_VERSIONING,FALSE,SAT/+,There are S3::Buckets - declared in this template - that have versioning disabled,(dietsmarts_cloud_roots3bucket - dietsmarts_cloud_s3bucket)
PASS,47_EKM_VPC_OPEN_NETWORK_ACL,FALSE,UNSAT,If there are EC2::VPCs - they certainly do not have an open-to-all Network Acl,N/A
PASS,48_EKM_NETWORKACL_NOT_USED,FALSE,UNSAT,Either there are not EC2::NetworkAcl or there are some and they are all linked to a VPC,N/A
PASS,49_EKM_SUBNET_BAD_ACL,FALSE,UNSAT,Either there are no EC2::Subnets or there are some and they all have good ACLs,N/A
PASS,50_EKM_SUBNET_NO_FLOWLOG,FALSE,UNSAT,If there are EC::Subnets - they all have FlowLog,N/A
